Movie_Title,Director_Name,IMDB_score,Actor_1,Actor_2,Actor_3,Gross_Revenue,Budget,Total_Facebook_Likes,Country
Toy Story 3,Lee Unkrich,8.3,Tom Hanks,John Ratzenberger,Don Rickles,414984497.0,200000000.0,30000,USA
Terminator Salvation,McG,6.6,Christian Bale,Bryce Dallas Howard,Common,125320003.0,200000000.0,0,USA
Furious 7,James Wan,7.2,Jason Statham,Paul Walker,Vin Diesel,350034110.0,190000000.0,94000,USA
World War Z,Marc Forster,7.0,Peter Capaldi,Brad Pitt,Mireille Enos,202351611.0,190000000.0,129000,USA
X-Men: Days of Future Past,Bryan Singer,8.0,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,233914986.0,200000000.0,82000,USA
Star Trek Into Darkness,J.J. Abrams,7.8,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,228756232.0,190000000.0,92000,USA
Jack the Giant Slayer,Bryan Singer,6.3,Eddie Marsan,Ewen Bremner,Ralph Brown,65171860.0,195000000.0,22000,USA
The Great Gatsby,Baz Luhrmann,7.3,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,144812796.0,105000000.0,115000,Australia
Prince of Persia: The Sands of Time,Mike Newell,6.6,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,90755643.0,200000000.0,23000,USA
Pacific Rim,Guillermo del Toro,7.0,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,101785482.0,190000000.0,83000,USA
Transformers: Dark of the Moon,Michael Bay,6.3,Glenn Morshower,Lester Speight,Kevin Dunn,352358779.0,195000000.0,46000,USA
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,6.2,Harrison Ford,Ray Winstone,Jim Broadbent,317011114.0,185000000.0,5000,USA
Brave,Mark Andrews,7.2,Kelly Macdonald,John Ratzenberger,Julie Walters,237282182.0,185000000.0,39000,USA
Star Trek Beyond,Justin Lin,7.5,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,130468626.0,185000000.0,30000,USA
WALL·E,Andrew Stanton,8.4,John Ratzenberger,Fred Willard,Jeff Garlin,223806889.0,180000000.0,16000,USA
Rush Hour 3,Brett Ratner,6.2,Tzi Ma,Dana Ivey,Noémie Lenoir,140080850.0,140000000.0,0,USA
2012,Roland Emmerich,5.8,Oliver Platt,Liam James,Tom McCarthy,166112167.0,200000000.0,13000,USA
A Christmas Carol,Robert Zemeckis,6.8,Robin Wright,Colin Firth,Gary Oldman,137850096.0,200000000.0,0,USA
Jupiter Ascending,Lana Wachowski,5.4,Channing Tatum,Mila Kunis,Eddie Redmayne,47375327.0,176000000.0,44000,USA
The Legend of Tarzan,David Yates,6.6,Christoph Waltz,Alexander Skarsgård,Casper Crump,124051759.0,180000000.0,29000,USA
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,6.9,Jim Broadbent,Kiran Shah,Shane Rangi,291709845.0,180000000.0,0,USA
X-Men: Apocalypse,Bryan Singer,7.3,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,154985087.0,178000000.0,54000,USA
The Dark Knight,Christopher Nolan,9.0,Christian Bale,Heath Ledger,Morgan Freeman,533316061.0,185000000.0,37000,USA
Up,Pete Docter,8.3,John Ratzenberger,Delroy Lindo,Jess Harnell,292979556.0,175000000.0,27000,USA
Monsters vs. Aliens,Rob Letterman,6.5,Amy Poehler,Rainn Wilson,Stephen Colbert,198332128.0,175000000.0,0,USA
Iron Man,Jon Favreau,7.9,Robert Downey Jr.,Jeff Bridges,Jon Favreau,318298180.0,140000000.0,10000,USA
Hugo,Martin Scorsese,7.5,Chloë Grace Moretz,Christopher Lee,Ray Winstone,73820094.0,170000000.0,42000,USA
Wild Wild West,Barry Sonnenfeld,4.8,Will Smith,Salma Hayek,Bai Ling,113745408.0,170000000.0,0,USA
The Mummy: Tomb of the Dragon Emperor,Rob Cohen,5.2,Jet Li,Brendan Fraser,Russell Wong,102176165.0,145000000.0,0,USA
Suicide Squad,David Ayer,6.9,Will Smith,Robin Atkin Downes,Ike Barinholtz,161087183.0,175000000.0,80000,USA
Evan Almighty,Tom Shadyac,5.4,Jimmy Bennett,Morgan Freeman,Steve Carell,100289690.0,175000000.0,2000,USA
Edge of Tomorrow,Doug Liman,7.9,Tom Cruise,Lara Pulver,Noah Taylor,100189501.0,178000000.0,77000,USA
Waterworld,Kevin Reynolds,6.1,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,88246220.0,175000000.0,0,USA
G.I. Joe: The Rise of Cobra,Stephen Sommers,5.8,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,150167630.0,175000000.0,0,USA
Inside Out,Pete Docter,8.3,Amy Poehler,Mindy Kaling,Phyllis Smith,356454367.0,175000000.0,118000,USA
The Jungle Book,Jon Favreau,7.8,Scarlett Johansson,Bill Murray,Garry Shandling,362645141.0,175000000.0,65000,UK
Iron Man 2,Jon Favreau,7.0,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,312057433.0,200000000.0,18000,USA
Snow White and the Huntsman,Rupert Sanders,6.1,Chris Hemsworth,Kristen Stewart,Sam Claflin,155111815.0,170000000.0,53000,USA
Maleficent,Robert Stromberg,7.0,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,241407328.0,180000000.0,89000,USA
Dawn of the Planet of the Apes,Matt Reeves,7.6,Gary Oldman,Judy Greer,Kodi Smit-McPhee,208543795.0,170000000.0,45000,USA
47 Ronin,Carl Rinsch,6.3,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,38297305.0,175000000.0,35000,USA
Captain America: The Winter Soldier,Anthony Russo,7.8,Scarlett Johansson,Chris Evans,Hayley Atwell,259746958.0,170000000.0,55000,USA
Shrek Forever After,Mike Mitchell,6.4,Jon Hamm,Kathy Griffin,Mary Kay Place,238371987.0,165000000.0,0,USA
Tomorrowland,Brad Bird,6.5,Judy Greer,Chris Bauer,Thomas Robinson,93417865.0,190000000.0,37000,USA
Big Hero 6,Don Hall,7.9,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,222487711.0,165000000.0,41000,USA
Wreck-It Ralph,Rich Moore,7.8,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,189412677.0,165000000.0,40000,USA
The Polar Express,Robert Zemeckis,6.6,Tom Hanks,Eddie Deezen,Peter Scolari,665426.0,165000000.0,10000,USA
Independence Day: Resurgence,Roland Emmerich,5.5,Vivica A. Fox,Sela Ward,Judd Hirsch,102315545.0,165000000.0,67000,USA
How to Train Your Dragon,Dean DeBlois,8.2,Gerard Butler,America Ferrera,Craig Ferguson,217387997.0,165000000.0,33000,USA
Terminator 3: Rise of the Machines,Jonathan Mostow,6.4,Nick Stahl,M.C. Gainey,Carolyn Hennesy,150350192.0,200000000.0,0,USA
Guardians of the Galaxy,James Gunn,8.1,Bradley Cooper,Vin Diesel,Djimon Hounsou,333130696.0,170000000.0,96000,USA
Interstellar,Christopher Nolan,8.6,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,187991439.0,165000000.0,349000,USA
Inception,Christopher Nolan,8.8,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,292568851.0,160000000.0,175000,USA
The Hobbit: An Unexpected Journey,Peter Jackson,7.9,Aidan Turner,Adam Brown,James Nesbitt,303001229.0,180000000.0,166000,USA
The Fast and the Furious,Rob Cohen,6.7,Paul Walker,Vin Diesel,Jordana Brewster,144512310.0,38000000.0,14000,USA
The Curious Case of Benjamin Button,David Fincher,7.8,Brad Pitt,Jason Flemyng,Julia Ormond,127490802.0,150000000.0,23000,USA
X-Men: First Class,Matthew Vaughn,7.8,Jennifer Lawrence,Michael Fassbender,Oliver Platt,146405371.0,160000000.0,54000,USA
The Hunger Games: Mockingjay - Part 2,Francis Lawrence,6.6,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,281666058.0,160000000.0,38000,USA
The Sorcerer's Apprentice,Jon Turteltaub,6.1,Nicolas Cage,Omar Benson Miller,Robert Capron,63143812.0,150000000.0,11000,USA
Poseidon,Wolfgang Petersen,5.6,Jimmy Bennett,Mike Vogel,Andre Braugher,60655503.0,160000000.0,0,USA
Alice Through the Looking Glass,James Bobin,6.4,Johnny Depp,Alan Rickman,Anne Hathaway,76846624.0,170000000.0,30000,USA
Shrek the Third,Chris Miller,6.1,Justin Timberlake,Eric Idle,Rupert Everett,320706665.0,160000000.0,0,USA
Warcraft,Duncan Jones,7.3,Dominic Cooper,Callum Rennie,Ruth Negga,46978995.0,160000000.0,89000,USA
Terminator Genisys,Alan Taylor,6.6,J.K. Simmons,Emilia Clarke,Matt Smith,89732035.0,155000000.0,82000,USA
The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,6.3,Bruce Spence,Shane Rangi,Laura Brent,104383624.0,155000000.0,11000,USA
Pearl Harbor,Michael Bay,6.1,Jennifer Garner,Jaime King,Mako,198539855.0,140000000.0,0,USA
Transformers,Michael Bay,7.1,Zack Ward,Michael O'Neill,Kevin Dunn,318759914.0,150000000.0,8000,USA
Alexander,Oliver Stone,5.5,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,34293771.0,155000000.0,0,Germany
Harry Potter and the Order of the Phoenix,David Yates,7.5,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,292000866.0,150000000.0,0,UK
Harry Potter and the Goblet of Fire,Mike Newell,7.6,Robert Pattinson,Daniel Radcliffe,Rupert Grint,289994397.0,150000000.0,0,UK
Hancock,Peter Berg,6.4,Will Smith,Charlize Theron,Eddie Marsan,227946274.0,150000000.0,0,USA
I Am Legend,Francis Lawrence,7.2,Will Smith,Alice Braga,Willow Smith,256386216.0,150000000.0,11000,USA
Charlie and the Chocolate Factory,Tim Burton,6.7,Johnny Depp,Christopher Lee,David Kelly,206456431.0,150000000.0,0,USA
Ratatouille,Brad Bird,8.0,Janeane Garofalo,John Ratzenberger,Brian Dennehy,206435493.0,150000000.0,10000,USA
Batman Begins,Christopher Nolan,8.3,Christian Bale,Liam Neeson,Morgan Freeman,205343774.0,150000000.0,15000,USA
Madagascar: Escape 2 Africa,Eric Darnell,6.7,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,179982968.0,150000000.0,0,USA
Night at the Museum: Battle of the Smithsonian,Shawn Levy,5.9,Robin Williams,Rami Malek,Steve Coogan,177243721.0,150000000.0,2000,USA
X-Men Origins: Wolverine,Gavin Hood,6.7,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,179883016.0,150000000.0,0,USA
The Matrix Revolutions,Lana Wachowski,6.7,Essie Davis,Collin Chou,Nona Gaye,139259759.0,150000000.0,0,Australia
Frozen,Chris Buck,7.6,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,400736600.0,150000000.0,58000,USA
The Matrix Reloaded,Lana Wachowski,7.2,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,281492479.0,150000000.0,0,USA
Thor: The Dark World,Alan Taylor,7.1,Chris Hemsworth,Natalie Portman,Anthony Hopkins,206360018.0,170000000.0,63000,USA
Mad Max: Fury Road,George Miller,8.1,Tom Hardy,Charlize Theron,Zoë Kravitz,153629485.0,150000000.0,191000,Australia
Angels & Demons,Ron Howard,6.7,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,133375846.0,150000000.0,0,USA
Thor,Kenneth Branagh,7.0,Chris Hemsworth,Natalie Portman,Anthony Hopkins,181015141.0,150000000.0,63000,USA
Bolt,Byron Howard,6.9,Chloë Grace Moretz,Diedrich Bader,James Lipton,114053579.0,150000000.0,0,USA
G-Force,Hoyt Yeatman,5.1,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,119420252.0,150000000.0,0,USA
Wrath of the Titans,Jonathan Liebesman,5.8,Liam Neeson,Edgar Ramírez,Lily James,83640426.0,150000000.0,19000,USA
Dark Shadows,Tim Burton,6.2,Johnny Depp,Chloë Grace Moretz,Christopher Lee,79711678.0,100000000.0,82000,USA
Mission: Impossible - Rogue Nation,Christopher McQuarrie,7.4,Tom Cruise,Jeremy Renner,Sean Harris,195000874.0,150000000.0,47000,China
The Wolfman,Joe Johnston,5.8,Anthony Hopkins,Simon Merrells,Art Malik,61937495.0,150000000.0,0,USA
The Legend of Tarzan,David Yates,6.6,Christoph Waltz,Alexander Skarsgård,Casper Crump,124051759.0,180000000.0,29000,USA
Bee Movie,Steve Hickner,6.2,Matthew Broderick,Oprah Winfrey,Rip Torn,126597121.0,150000000.0,0,USA
Kung Fu Panda 2,Jennifer Yuh Nelson,7.3,Angelina Jolie Pitt,Gary Oldman,Mike Bell,165230261.0,150000000.0,20000,USA
The Last Airbender,M. Night Shyamalan,4.2,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,131564731.0,150000000.0,18000,USA
Mission: Impossible III,J.J. Abrams,6.9,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,133382309.0,150000000.0,0,USA
White House Down,Roland Emmerich,6.4,Channing Tatum,Jake Weber,Matt Craven,73103784.0,150000000.0,33000,USA
Mars Needs Moms,Simon Wells,5.4,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,21379315.0,150000000.0,0,USA
Flushed Away,David Bowers,6.7,Hugh Jackman,Kate Winslet,David Suchet,64459316.0,149000000.0,0,UK
Pan,Joe Wright,5.8,Hugh Jackman,Cara Delevingne,Nonso Anozie,34964818.0,150000000.0,24000,USA
Mr. Peabody & Sherman,Rob Minkoff,6.9,Ty Burrell,Zach Callison,Karan Brar,111505642.0,145000000.0,11000,USA
Troy,Wolfgang Petersen,7.2,Brad Pitt,Orlando Bloom,Julian Glover,133228348.0,175000000.0,0,USA
Madagascar 3: Europe's Most Wanted,Eric Darnell,6.9,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,216366733.0,145000000.0,17000,USA
Die Another Day,Lee Tamahori,6.1,Toby Stephens,Colin Salmon,Rick Yune,160201106.0,142000000.0,0,UK
Ghostbusters,Paul Feig,5.5,Ed Begley Jr.,Kate McKinnon,Zach Woods,118099659.0,144000000.0,62000,USA
Armageddon,Michael Bay,6.6,Bruce Willis,Steve Buscemi,Will Patton,201573391.0,140000000.0,11000,USA
Men in Black II,Barry Sonnenfeld,6.1,Will Smith,Rosario Dawson,Rip Torn,190418803.0,140000000.0,2000,USA
Beowulf,Robert Zemeckis,6.3,Robin Wright,Anthony Hopkins,Sebastian Roché,82161969.0,150000000.0,3000,USA
Kung Fu Panda 3,Alessandro Carloni,7.2,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,143523463.0,145000000.0,24000,USA
Mission: Impossible - Ghost Protocol,Brad Bird,7.4,Tom Cruise,Jeremy Renner,Michael Nyqvist,209364921.0,145000000.0,35000,USA
Rise of the Guardians,Peter Ramsey,7.3,Hugh Jackman,Kamil McFadden,Khamani Griffin,103400692.0,145000000.0,25000,USA
Fun with Dick and Jane,Dean Parisot,6.1,John Michael Higgins,Richard Burgi,David Herman,110332737.0,100000000.0,2000,USA
The Last Samurai,Edward Zwick,7.7,Tom Cruise,Tony Goldwyn,Chad Lindberg,111110575.0,140000000.0,0,USA
Exodus: Gods and Kings,Ridley Scott,6.1,Christian Bale,María Valverde,Ben Mendelsohn,65007045.0,140000000.0,51000,UK
Star Trek,J.J. Abrams,8.0,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,257704099.0,150000000.0,19000,USA
Spider-Man,Sam Raimi,7.3,J.K. Simmons,James Franco,Kirsten Dunst,403706375.0,139000000.0,5000,USA
How to Train Your Dragon 2,Dean DeBlois,7.9,Gerard Butler,Djimon Hounsou,America Ferrera,176997107.0,145000000.0,46000,USA
Gods of Egypt,Alex Proyas,5.5,Gerard Butler,Elodie Yung,Bryan Brown,31141074.0,140000000.0,24000,USA
Stealth,Rob Cohen,5.0,Sam Shepard,Joe Morton,Richard Roxburgh,31704416.0,135000000.0,0,USA
Watchmen,Zack Snyder,7.7,Matt Frewer,Billy Crudup,Stephen McHattie,107503316.0,130000000.0,18000,USA
Lethal Weapon 4,Richard Donner,6.6,Jet Li,Rene Russo,Darlene Love,129734803.0,140000000.0,0,USA
Hulk,Ang Lee,5.7,Kevin Rankin,Regi Davis,Celia Weston,132122995.0,137000000.0,0,USA
G.I. Joe: Retaliation,Jon M. Chu,5.8,Channing Tatum,Dwayne Johnson,Elodie Yung,122512052.0,130000000.0,42000,USA
Sahara,Breck Eisner,6.0,Matthew McConaughey,Rainn Wilson,Delroy Lindo,68642452.0,130000000.0,0,UK
Final Fantasy: The Spirits Within,Hironobu Sakaguchi,6.4,Steve Buscemi,Ming-Na Wen,Jean Simmons,32131830.0,137000000.0,0,USA
Captain America: The First Avenger,Joe Johnston,6.9,Chris Evans,Dominic Cooper,Hayley Atwell,176636816.0,140000000.0,46000,USA
The World Is Not Enough,Michael Apted,6.4,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,126930660.0,135000000.0,2000,UK
Master and Commander: The Far Side of the World,Peter Weir,7.4,James D'Arcy,Lee Ingleby,David Threlfall,93926386.0,150000000.0,0,USA
The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,5.5,Robert Pattinson,Kristen Stewart,Taylor Lautner,292298923.0,120000000.0,65000,USA
Happy Feet 2,George Miller,5.9,Robin Williams,Brad Pitt,Common,63992328.0,135000000.0,0,Australia
The Incredible Hulk,Louis Leterrier,6.8,Ty Burrell,Peter Mensah,William Hurt,134518390.0,150000000.0,0,USA
The BFG,Steven Spielberg,6.8,Mark Rylance,Penelope Wilton,Rafe Spall,52792307.0,140000000.0,27000,UK
The Revenant,Alejandro G. Iñárritu,8.1,Leonardo DiCaprio,Tom Hardy,Lukas Haas,183635922.0,135000000.0,190000,USA
Turbo,David Soren,6.5,Ryan Reynolds,Snoop Dogg,Ben Schwartz,83024900.0,135000000.0,13000,USA
Rango,Gore Verbinski,7.2,Johnny Depp,Ray Winstone,Stephen Root,123207194.0,135000000.0,26000,USA
Penguins of Madagascar,Eric Darnell,6.7,Benedict Cumberbatch,Annet Mahendru,Andy Richter,83348920.0,132000000.0,11000,USA
The Bourne Ultimatum,Paul Greengrass,8.1,Matt Damon,Edgar Ramírez,Albert Finney,227137090.0,110000000.0,0,USA
Kung Fu Panda,Mark Osborne,7.6,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,215395021.0,130000000.0,6000,USA
Ant-Man,Peyton Reed,7.4,Judy Greer,Hayley Atwell,T.I.,180191634.0,130000000.0,61000,USA
The Hunger Games: Catching Fire,Francis Lawrence,7.6,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,424645577.0,130000000.0,82000,USA
The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,5.5,Robert Pattinson,Kristen Stewart,Taylor Lautner,292298923.0,120000000.0,65000,USA
Home,Tim Johnson,6.7,Jim Parsons,Matt Jones,April Winchell,177343675.0,135000000.0,26000,USA
War of the Worlds,Steven Spielberg,6.5,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,234277056.0,132000000.0,0,USA
Bad Boys II,Michael Bay,6.6,Will Smith,Henry Rollins,Jordi Mollà,138396624.0,130000000.0,0,USA
Puss in Boots,Chris Miller,6.7,Salma Hayek,Constance Marie,Amy Sedaris,149234747.0,130000000.0,16000,USA
Salt,Phillip Noyce,6.4,Angelina Jolie Pitt,Andre Braugher,August Diehl,118311368.0,110000000.0,23000,USA
Noah,Darren Aronofsky,5.8,Anthony Hopkins,Emma Watson,Logan Lerman,101160529.0,125000000.0,71000,USA
The Adventures of Tintin,Steven Spielberg,7.4,Toby Jones,Mackenzie Crook,Tony Curran,77564037.0,135000000.0,44000,USA
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,7.8,Daniel Radcliffe,Gary Oldman,Rupert Grint,249358727.0,130000000.0,11000,UK
Australia,Baz Luhrmann,6.6,Essie Davis,Bryan Brown,Eddie Baroo,49551662.0,130000000.0,0,Australia
After Earth,M. Night Shyamalan,4.9,Will Smith,Zoë Kravitz,Glenn Morshower,60522097.0,130000000.0,37000,USA
Dinosaur,Eric Leighton,6.5,Alfre Woodard,D.B. Sweeney,Della Reese,137748063.0,127500000.0,0,USA
Night at the Museum: Secret of the Tomb,Shawn Levy,6.2,Robin Williams,Rami Malek,Steve Coogan,113733726.0,127000000.0,11000,USA
Megamind,Tom McGrath,7.3,J.K. Simmons,Brad Pitt,Will Ferrell,148337537.0,130000000.0,13000,USA
Harry Potter and the Sorcerer's Stone,Chris Columbus,7.5,Daniel Radcliffe,Fiona Shaw,Verne Troyer,317557891.0,125000000.0,16000,UK
R.I.P.D.,Robert Schwentke,5.6,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,33592415.0,130000000.0,20000,USA
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,8.1,Johnny Depp,Orlando Bloom,Jack Davenport,305388685.0,140000000.0,10000,USA
The Hunger Games: Mockingjay - Part 1,Francis Lawrence,6.7,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,337103873.0,125000000.0,52000,USA
The Da Vinci Code,Ron Howard,6.6,Tom Hanks,Seth Gabel,Jürgen Prochnow,217536138.0,125000000.0,0,USA
Rio 2,Carlos Saldanha,6.4,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,131536019.0,103000000.0,0,USA
X-Men 2,Bryan Singer,7.5,Hugh Jackman,Bruce Davison,Aaron Stanford,214948780.0,110000000.0,0,Canada
Fast Five,Justin Lin,7.3,Paul Walker,Vin Diesel,Dwayne Johnson,209805005.0,125000000.0,54000,USA
Sherlock Holmes: A Game of Shadows,Guy Ritchie,7.5,Robert Downey Jr.,Eddie Marsan,Paul Anderson,186830669.0,125000000.0,39000,USA
Clash of the Titans,Louis Leterrier,5.8,Liam Neeson,Jason Flemyng,Alexa Davalos,163192114.0,125000000.0,15000,USA
Total Recall,Paul Verhoeven,7.5,Ronny Cox,Rachel Ticotin,Marshall Bell,119412921.0,65000000.0,0,USA
The 13th Warrior,John McTiernan,6.6,Tony Curran,Vladimir Kulich,Clive Russell,32694788.0,85000000.0,0,USA
